1	17012	18728	OMOL01000001.1	9674094	9675853
1	433247	433723	OMOL01000001.1	6238704	6239180
1	540433	540987	OMOL01000001.1	1540414	1540968
1	1924980	1926579	OMOL01000001.1	10183983	10185577
1	3329827	3333490	OMOL01000001.1	5728806	5725134
1	4392634	4393852	OMOL01000001.1	2520754	2521978
1	4396555	4397852	OMOL01000001.1	2527445	2528744
1	4406002	4411133	OMOL01000001.1	8037192	8032100
1	4406006	4411129	OMOL01000001.1	1139420	1134294
1	6538416	6543537	OMOL01000001.1	8032111	8037188
1	6538417	6543538	OMOL01000001.1	1134305	1139422
1	6539440	6543534	OMOL01000001.1	2551047	2555104
1	6657159	6660358	OMOL01000001.1	703471	700294
1	6705551	6709322	OMOL01000001.1	2551341	2555104
1	6735863	6737371	OMOL01000001.1	2755568	2757055
1	6912034	6912462	OMOL01000001.1	8167589	8167174
1	7023545	7024535	OMOL01000001.1	9334383	9335393
1	7286119	7288818	OMOL01000001.1	9354176	9356779
1	7352929	7363795	OMOL01000001.1	7407903	7418767
1	7363918	7365199	OMOL01000001.1	7418656	7419937
1	7959352	7961223	OMOL01000001.1	5328816	5330663
1	8114767	8116817	OMOL01000001.1	5317842	5319874
1	8291663	8291985	OMOL01000001.1	2698673	2698998
1	8644354	8644983	OMOL01000001.1	4163269	4163898
1	8644634	8645525	OMOL01000001.1	488619	489512
1	8645971	8646651	OMOL01000001.1	489573	490254
1	8646893	8648100	OMOL01000001.1	490522	491731
1	8647031	8648102	OMOL01000001.1	4163898	4164969
1	9008455	9010358	OMOL01000001.1	3449037	3447138
1	9136683	9138319	OMOL01000001.1	2940405	2942111
1	9304889	9305814	OMOL01000001.1	495451	496372
1	9368505	9369332	OMOL01000001.1	617719	618539
1	9369686	9371795	OMOL01000001.1	618893	621013
1	9372195	9372794	OMOL01000001.1	621424	622024
1	9585624	9586093	OMOL01000001.1	10749657	10750128
1	9676476	9683652	OMOL01000001.1	3437420	3444538
1	9683718	9691258	OMOL01000001.1	3445117	3452612
1	9836504	9837583	OMOL01000001.1	3962128	3961045
1	9836508	9837581	OMOL01000001.1	1487871	1486770
1	10840004	10840941	OMOL01000001.1	5156249	5157189
1	11475972	11477223	OMOL01000001.1	7426931	7428163
1	11475972	11478215	OMOL01000001.1	7432612	7434855
1	11476738	11477451	OMOL01000001.1	7447496	7448209
1	11477520	11478211	OMOL01000001.1	7428421	7429121
1	11477551	11477703	OMOL01000001.1	7448328	7448480
1	11699694	11701725	OMOL01000001.1	6571155	6573225
1	11887152	11893190	OMOL01000001.1	177675	183696
1	11892782	11893647	OMOL01000001.1	183581	184445
1	11893771	11897711	OMOL01000001.1	184443	188376
1	11899631	11901703	OMOL01000001.1	189633	191634
1	11958317	11959087	OMOL01000001.1	2607859	2608625
